customer_id,rfm_cell
SC-204407,441
RO-1978092,441
SJ-2050092,441
SC-2009592,441
PK-190757,435
PF-1912092,435
MY-173807,435
SB-202907,435
AH-106907,435
SV-203657,434
KL-166457,434
KB-162407,434
JD-161507,434
PR-188807,434
PL-189257,434
KB-164057,434
JP-155207,434
HM-148607,434
GB-145757,433
EB-1370592,433
CS-124907,433
MH-177857,433
TM-214907,433
AR-103457,433
AA-103157,432
MS-177107,432
NM-185207,432
KH-1651092,432
SC-208007,432
EB-137057,431
MC-178457,431
SJ-201257,431
EH-141257,431
MB-173057,425
FW-1439592,424
CS-124007,423
LL-168407,423
SV-207857,423
AJ-109607,423
MD-1735092,423
RH-196007,422
FG-142607,422
EH-1412592,422
MT-1781592,422
CM-119357,422
LH-1675092,422
TS-213707,422
MG-1789092,422
TS-2150592,422
DC-1285092,422
LB-1679592,422
GM-146957,422
PJ-1883592,421
KB-163157,421
BM-1165092,421
MB-180857,421
TB-2162592,421
BS-1180092,421
JL-151757,421
BS-1166592,421
CR-128207,421
SC-2057592,421
MG-1789099,421
NH-186107,421
RS-1976592,413
AD-1018092,413
JD-160607,413
DS-131807,413
JD-158957,413
DB-133607,413
BS-1138092,413
LR-1703592,413
HZ-1495092,412
SW-203507,412
BD-115607,412
JL-155057,412
SL-2015592,412
AS-1013592,412
IL-1510092,412
JO-155507,411
FH-143507,411
NP-187007,411
AS-102857,411
BG-116957,411
PF-192257,411
DG-133007,411
PC-1900092,411
PC-187457,411
CB-120257,411
RD-1981092,411
JH-154307,411
BW-111107,355
CR-126257,355
RP-192707,355
MC-176357,355
DO-136457,355
PN-187757,355
AB-106007,355
EL-137357,355
AH-105857,355
ML-177557,355
GT-147107,355
SB-201707,355
KM-162257,355
CS-121757,355
BM-1178592,355
PO-188507,355
CC-125507,355
RB-194657,355
KB-165857,355
SW-207557,355
CK-122057,355
BD-117257,355
AS-102407,354
BM-117857,354
HG-150257,354
KW-165707,354
LS-172007,354
LE-168107,354
MF-176657,354
GZ-144707,354
PH-187907,354
CC-124757,354
ON-187157,354
JE-157157,354
BF-112157,354
SC-202307,353
RB-197957,353
JH-159107,353
LC-169307,353
CS-118457,353
FM-142157,353
HH-150107,353
MH-181157,353
DK-129857,352
KE-164207,352
HP-148157,351
AB-100157,345
BD-116057,345
PO-191957,345
CC-124307,345
CR-127307,345
AM-107057,345
DP-131657,345
DB-130607,345
HG-149657,344
GD-1459092,344
AB-101657,344
BT-113057,344
SG-208907,344
EM-1396092,344
EA-140357,344
JK-161207,344
RH-194957,344
RD-197207,344
DL-1331592,344
EM-138107,344
BS-117557,344
BT-115307,343
MC-175757,343
RW-196907,343
OT-187307,343
RP-193907,343
TT-214607,342
RA-199457,342
SJ-202157,342
AR-108257,342
PC-190007,342
NB-186557,341
EB-1397592,341
AG-103907,335
JF-152957,335
AS-1063092,335
SC-203057,335
NZ-185657,335
NK-184907,335
KN-167057,334
DW-135407,334
FO-143057,334
TC-215357,334
MV-181907,334
LC-1705092,334
DJ-135107,334
TS-215057,334
SD-204857,333
AC-106157,333
BE-1145592,333
TB-2135592,333
TG-216407,333
BT-114407,333
BP-1105092,333
DJ-136307,333
MT-180707,333
JC-1538592,333
GR-145607,333
WB-218507,333
SG-2060592,332
ME-177257,332
RM-197507,332
DM-135257,332
HA-1492092,332
CM-1265592,332
JG-151157,332
CA-123107,332
TT-210707,332
DA-134507,332
BN-114707,331
NR-1855092,331
MH-1811592,331
KD-162707,331
MS-177707,325
PK-1907592,324
RD-1993092,324
JH-1591092,324
KF-162857,324
HK-148907,323
DB-1355592,323
LS-1724592,323
MZ-175157,323
BB-1099099,323
AR-104057,322
JK-157307,322
RD-196607,322
BD-113207,322
EB-141107,322
MG-1814592,322
CA-120557,322
AG-1090092,322
SC-206957,322
CT-119957,321
BS-113657,321
AM-1070592,321
MC-1784592,321
SC-2044092,321
TB-210557,321
IL-151007,321
ND-183707,321
ED-138857,321
ML-1739592,321
DH-130757,321
AB-1006092,321
RW-196307,321
PW-192407,321
MG-1768092,321
PS-1904592,315
EG-139007,315
YS-218807,315
AA-104807,314
BV-1124599,314
RA-199157,314
AG-1030092,314
CK-1259592,314
SC-2084592,313
AG-1033092,313
RD-194807,313
GM-1444092,313
Dl-136007,313
MF-182507,312
RD-199007,312
BT-114857,312
JB-160007,312
TZ-215807,312
ML-1804092,311
MO-179507,311
GT-146357,311
JM-1565592,311
TN-210407,311
MS-1798092,311
EB-137507,311
LS-169457,311
NS-186407,311
ML-1775592,311
GZ-1447092,311
MG-1787592,311
TB-211757,311
TS-212057,255
JM-152657,255
RF-197357,255
LH-169007,255
SH-199757,255
JG-158057,254
SF-202007,254
EB-139307,254
PT-190907,254
HR-148307,254
GH-146657,254
RE-194507,254
JK-152057,253
NP-186707,253
BM-115757,245
BD-115007,245
BD-116357,245
ES-140807,245
MC-176057,245
TS-216107,245
AR-105107,245
RB-193607,245
MY-182957,245
DM-129557,245
EH-141857,245
SJ-205007,244
LC-168857,244
MK-179057,244
FC-143357,244
HZ-149507,244
DB-129107,243
BT-116807,243
AJ-107957,243
RO-197807,243
TH-211157,243
GW-146057,243
TS-211607,243
FH-143657,242
DR-1294092,242
JL-158357,242
JP-161357,242
CK-123257,242
MS-173657,242
SC-205757,242
AH-101207,242
BD-116207,242
HG-1496592,241
MC-172757,241
MC-174257,241
TR-213257,235
JF-151907,235
AG-106757,235
MW-182357,235
CD-122807,235
JS-160307,234
EH-139907,234
HM-1486092,234
AH-104657,234
KS-163007,234
RL-196157,234
AF-108857,234
SA-208307,233
FG-1426092,233
AG-1027092,233
RS-198707,233
CS-1240092,233
ML-173957,233
AS-100907,233
ML-174107,233
TT-212657,233
KL-1655592,233
CJ-1187592,233
AM-103607,233
DN-136907,233
JE-1616592,233
XP-2186592,233
JM-158657,233
GA-1472592,233
SH-203957,233
AW-1084092,232
MD-173507,232
TT-2107099,232
GZ-145457,232
BS-118007,232
MD-1786092,232
JF-153557,232
MT-178157,232
KH-166307,231
PM-189407,231
SC-200207,231
SC-208457,231
GP-1474099,231
JM-1553592,231
DM-1295592,231
RS-197657,231
HD-1478592,225
SV-208157,225
TB-211907,225
KC-165407,225
GA-145157,225
GK-146207,224
CB-1253592,224
LO-171707,224
PJ-190157,224
SP-205457,224
VT-2170092,224
BW-1120092,223
SM-209057,223
DC-128507,223
AS-106307,222
JJ-1544592,222
BS-113807,222
BB-109907,222
CA-1277592,222
TS-213407,222
SF-2006592,222
KB-1640592,222
PT-1909092,222
SR-2042592,222
Co-126407,222
CM-1193592,222
NC-1853592,222
DM-1352592,222
BF-1127592,222
LF-171857,221
EA-1403592,221
SC-2026092,221
TP-2113099,221
RC-199607,221
BP-1129092,221
PG-1882092,221
KH-1669092,221
SH-2039599,221
TB-212507,221
CV-122957,221
ER-138557,221
SC-203807,221
EH-1376592,221
EM-1381092,215
BS-116657,215
BS-1175592,215
JF-155657,215
NS-1864092,214
DL-1292592,214
RC-1996092,214
TC-2147592,214
DF-131357,214
RD-1966092,214
MY-1738092,214
CM-121157,214
SK-199907,213
BM-116507,213
EB-138407,213
JE-154757,213
BN-1147092,213
VP-2173092,213
DM-1301592,213
DL-1349592,213
CA-1226592,213
RB-195707,213
KA-1652592,213
AC-1061592,213
BD-1172592,212
NW-184007,212
EB-141707,212
BK-112607,212
LW-1682592,212
CM-121907,212
TS-2120592,212
KC-1654092,212
MC-181307,212
JJ-154457,212
TH-2110092,212
JK-156407,211
GT-1475592,211
AW-109307,211
KH-1663092,211
AG-104957,211
LB-167957,211
DJ-134207,211
Dl-1360092,211
MG-182057,211
PO-188657,211
LA-167807,211
SN-207107,155
JL-152357,154
PS-187607,154
EH-140057,154
MZ-173357,154
SH-2039592,152
PF-191207,145
DE-132557,145
JR-156707,144
CC-126707,144
VP-217307,144
TB-213557,144
ML-182657,144
KL-1664592,144
AP-1072092,144
KH-166907,144
MM-172607,144
HF-149957,144
JM-161957,143
MM-182807,143
SC-202607,143
DP-130007,143
CS-124607,142
BP-112907,142
LH-1715592,142
DB-131207,142
AI-1085592,142
AP-1091592,142
TS-214307,142
DK-1309092,141
BB-1099092,141
DL-128657,135
BC-1112592,135
TS-2134092,135
JM-152507,135
BF-1100592,135
BP-111857,135
JM-1558092,135
EM-138257,134
JL-1585092,134
JL-158507,134
CC-1237092,134
JC-157757,134
JH-1543092,134
CL-1270092,133
CA-127757,133
MK-1816092,133
PG-188207,133
LW-169907,133
DO-134357,132
BT-1139592,132
HR-1483092,131
MS-1777092,131
BE-114107,131
MM-179207,131
LW-168257,131
AG-109007,131
CC-1214592,131
CK-127607,131
EM-142007,131
TH-2110099,131
CP-123407,131
MA-179957,131
EM-140657,125
PJ-188357,125
SC-206807,125
GM-144407,124
SF-209657,124
JK-160907,124
DK-131507,124
HR-147707,124
VW-2177592,124
DS-130307,124
SW-2045592,123
BS-1159092,123
CS-1246092,123
DV-130457,123
ML-180407,123
TH-215507,123
PM-191357,123
TC-2114592,122
AG-103307,122
FH-1436592,122
MA-175607,122
EB-138707,122
DK-128357,122
CS-119507,122
DP-1316592,122
HE-1480092,122
GT-1471092,122
EM-1420092,122
SW-2027592,122
JD-157907,122
IM-150707,122
JB-154007,122
PO-1885092,122
EB-1384092,122
ME-1732092,122
EC-140507,121
CM-118307,121
DK-1283592,121
KT-1648092,121
KE-1642092,121
LD-168557,121
EP-139157,121
RC-198257,121
AS-1028592,121
LT-1676592,121
LO-1717092,121
TB-2159592,121
MH-176207,121
TP-2141592,121
LA-1678092,121
BC-111257,121
ME-1801092,121
DL-1286592,121
NC-184157,121
RD-1990092,121
ZD-219257,121
MB-1808592,115
SC-200957,115
TS-2161092,115
GH-144257,115
NH-1861092,115
YC-2189592,114
MH-180257,114
AT-107357,114
HL-150407,114
JC-161057,114
AI-108557,114
AD-101807,114
AS-100457,113
AA-1037592,113
KC-162557,113
DL-134957,113
AS-102257,113
SC-207707,113
EC-1405092,113
MC-1742592,113
PG-1889592,113
EH-1418592,113
FM-143807,113
BD-1163592,113
MO-1750092,113
RR-195257,113
EL-1373592,112
TS-2137092,112
JL-151307,112
DM-133457,112
LP-1709592,112
DA-1345092,112
AP-109157,112
TS-210857,112
LC-1693092,112
GW-1460592,112
NB-1858092,112
HD-147857,112
MG-176507,112
AC-104207,112
KM-1637592,112
NS-185057,112
CB-1202599,111
JE-1561092,111
JR-1570092,111
TB-2117592,111
SC-2030592,111
BB-1154592,111
PW-190307,111
RF-193457,111
AY-105557,111
NP-1832592,111
GH-144857,111
SR-204257,111
Dp-132407,111
QJ-1925592,111
AG-103007,111
DF-1313592,111
TM-210107,111
GH-1441092,111
JO-1528092,111
TW-210257,111
TP-214157,111
JM-155807,111
RD-195857,111
DL-1333092,111
